CARI_KOD,CARI_ISIM,ADRES,IL,ILCE,ENLEM,BOYLAM,TIPI
D737,Kuvai Milliye Merkez Elazýð,Ataþehir Mh. Kuvayi Milliye CaddesiN:24N:24,Elazig,MERKEZ,38.657972,39.177038,Magaza
H377,Ýzmir Yolu Þehzadeler Manisa,Güzelköy Mh. Manisa Akhisar Yolu No:4N:4/CN:4/C,Manisa,ÞEHZADELER,38.657997,27.447003,Magaza
I995,Karataþ Sok Yunusemre Manisa,Muradiye Mh. Manisa Caddesi No:55/AN:55/AN:N:N:,Manisa,YUNUSEMRE,38.658203,27.339391,Magaza
A7847,Baðarasý  Foça Ýzmir,Kazýmdirik Mah. Foça Ýzmir Karayolu No:130 Baðarasý,Izmir,FOÇA,38.658623,26.854574,Magaza
H742,Ali Fuat Belgin Caddesi Cihanbeyli Konya,Atçeken Mh. Konya Caddesi (Ankara Caddesi) NN:23,Konya,CIHANBEYLI,38.658724,32.920011,Magaza
A6823,Muradiye Yunus Emre Manisa,Muradiye Mahallesi Ýstasyon Fevzi Çakmak) Caddesi  No:19A –1N:19A-B,Manisa,YUNUSEMRE,38.658773,27.336752,Magaza
A7000,Vefa Küçük Nevþehir,Ragýp Üner Mah. 126.Sok Safir Apt.No:2N:1N:1N:1NN:1,Nevsehir,MERKEZ,38.658958,34.736707,Magaza
A5146,Tahtakýlýç Cad.Merkez Uþak,Cumhuriyet Mh. Öðretmen SokakN:40/A-BN:40/A-BN:N:40/A-B,Usak,MERKEZ,38.659179,29.396305,Magaza
B069,Kuyucak Yolu Maðazasý Merkez Uþak,Kemalöz Mh. N:92/A-BN:92/A-BN:92/A-B,Usak,MERKEZ,38.659471,29.390104,Magaza
A7285,Fatih Baba Elazýð,Abdullah Paþa Mh. 19. SokakN:101,Elazig,MERKEZ,38.659689,39.150617,Magaza
A9255,Sebzeci Merkez Uþak,Atatürk Mh. Kazým Karabekir CaddesiN:117,Usak,MERKEZ,38.659903,29.41302,Magaza
A0230,Serdarlar Merkez Elazýð,Ataþehir Mh. Muharipler SokakN:17N:17N:17N:17N:17,Elazig,MERKEZ,38.660023,39.168578,Magaza
F251,Gündoðdu Parký Yunusemre Manisa,Muradiye Mh. 33 Cumhuriyet CaddesiN:33/AN:N:,Manisa,YUNUSEMRE,38.660052,27.339633,Magaza
H273,Evrenos Yunusemre Manisa,Muradiye Mh. Cumhuriyet Caddesi No:67/AN:67/A,Manisa,YUNUSEMRE,38.660265,27.34428,Magaza
D124,Baþakpýnar Talas Kayseri,Baþakpýnar Mh. 12 Çaðlayan Caddesi,Kayseri,TALAS,38.660406,35.626718,Magaza
H328,Demirdað Caddesi Merkez Uþak,Atatürk Mh. Þehit Ali Demirað Caddesi No:14/A-B,Usak,MERKEZ,38.661276,29.427864,Magaza
D654,Çullu Cad Yunusemre Manisa,Muradiye Mh. 25 Lise SokakN:57/C,Manisa,YUNUSEMRE,38.66141,27.335948,Magaza
C618,Aksaray Merkez Elazýð,Aksaray Mh. 16,Elazig,MERKEZ,38.661681,39.227283,Magaza
F478,Þelale Merkez Elazýð,Ataþehir Mh. Malatya CaddesiN:2A,Elazig,MERKEZ,38.661972,39.169553,Magaza
A8829,Mimberli Elazýð,Sürsürü Mh. Elazýð CaddesiN:6,Elazig,MERKEZ,38.66201,39.188259,Magaza
D141,1013 Sokak Foça Ýzmir,Yenibaðarasý Mh. Yenifoça Caddesi (1003. Sokak)N:N:48,Izmir,FOÇA,38.662478,26.843194,Magaza
A4670,Ataþehir Elazýð,Ataþehir Mh. Semazen SokakN:8,Elazig,MERKEZ,38.662693,39.177664,Magaza
A8386,Zübeyde Haným Nevþeh,2000 Evler Mh. Zübeyde Haným Cd. (Nevþehir - AvN:1,Nevsehir,MERKEZ,38.663068,34.734625,Magaza
H981,Gedik Bulvarý Merkez Uþak,Fevzi Çakmak Mh. Halil Kaya Gedik Bulvarý No:63/A-B,Usak,MERKEZ,38.663172,29.431493,Magaza
C006,Çeþme Merkez Elazýð,Sürsürü Mh. Yeþil SokakN:4,Elazig,MERKEZ,38.663212,39.195973,Magaza
E737,Ýstanbul Yolu Þehzadeler Manisa,Veziroðlu Mh. 4/6N:4/B,Manisa,ÞEHZADELER,38.663461,27.451023,Magaza
D617,Karahisar Sokak Merkez Uþak,Kemalöz Mh. Ýbrahim Tahtakýlýç CaddesiN:110AN:1,Usak,MERKEZ,38.663933,29.38988,Magaza
A8960,Tuncer Develli Merkez Uþak,Kemalöz Mh. 1. Pýrlanta SokakN:156N:156N:156N:156,Usak,MERKEZ,38.664227,29.376272,Magaza
E441,1 Mezarlýk Sokak Merkez Uþak,Atatürk Mh. 1. Mezarlýk SokakN:38/AN:38/AN:3N:,Usak,MERKEZ,38.664438,29.420715,Magaza
A5070,Durak Mah. Uþak,Orhan Dengiz Blv. 4. Emlak Sok. N:68N:68N:,Usak,MERKEZ,38.664541,29.406217,Magaza
I484,Yeni Köprübaþý Cihanbeyli Konya,Köprübaþý Mh. Konya Caddesi (Ankara Caddesi) NN:89/B,Konya,CIHANBEYLI,38.664564,32.922246,Magaza
A2452,2000 Evler Nevþehir,2000 Evler Mah.60.Cadde Güller Apt. N:1N:1N:1N:1N:1N:1N:1N:N:N:N:N:N:1,Nevsehir,MERKEZ,38.664586,34.739429,Magaza
F992,Çevre Yolu Merkez Uþak,Fevzi Çakmak Mh. 6. Kamer Sokak No:27/A-BN:27/A-BN:1,Usak,MERKEZ,38.665082,29.438375,Magaza
I054,Yücetepe Merkez Uþak,Cumhuriyet Mh. Saffet Efendi Sokak No:59/AN:59/N:,Usak,MERKEZ,38.665403,29.402959,Magaza
J128,Sigorta Caddesi Merkez Uþak,Cumhuriyet Mh. Birlik Sokak No:135/A-B-CN:135/AN:135ABC,Usak,MERKEZ,38.665696,29.399756,Magaza
A4613,Mithat Paþa Elazýð,Sürsürü Mh. Mithat Paþa BulvarýN:12/14,Elazig,MERKEZ,38.665876,39.201729,Magaza
A0928,Olgunlar Merkez Elazýð,Olgunlar Mh. Sultan Fatih CaddesiN:48,Elazig,MERKEZ,38.666207,39.208756,Magaza
A9031,Cumhuriyet Elazýð,Cumhuriyet Mh. Çay SokakN:39,Elazig,MERKEZ,38.667007,39.164881,Magaza
